"Station Name","Province","Latitude","Longitude","Elevation","Climate ID","WMO Identifier","TC Identifier"
"DOME CREEK","BRITISH COLUMBIA","53.75","-121.17","670.60","1092519","",""
"DOME CREEK","BRITISH COLUMBIA","53.73","-120.98","647.70","1092520","",""
"DOMINION CITY","MANITOBA","49.15","-97.15","239.60","5020770","",""
"DOMVILLE","ONTARIO","44.78","-75.53","115.20","6102054","",""
"DONA","ONTARIO","48.50","-89.52","317.30","6042063","",""
"DONA LAKE","ONTARIO","51.40","-90.12","382.00","6012064","",""
"DONALD","BRITISH COLUMBIA","51.48","-117.15","783.30","1172525","",""
"DONALDA SOUTH","ALBERTA","52.52","-112.35","741.50","3012095","",""
"DONAVON","SASKATCHEWAN","51.80","-107.18","533.40","4052230","",""
"DONNACONA","QUEBEC","46.67","-71.75","10.70","7012070","",""
"DONNACONA 2","QUEBEC","46.68","-71.73","45.70","7012071","",""
"DONNELLY","ALBERTA","55.73","-117.10","602.00","3072096","",""
"DOON","ONTARIO","43.40","-80.45","312.40","6142065","",""
"DORCHESTER","ONTARIO","43.00","-81.03","271.30","6142066","",""
"DORCHESTER","NEW BRUNSWICK","45.92","-64.52","6.40","8101230","",""
"DORE LAKE","SASKATCHEWAN","54.62","-107.40","463.90","4062237","",""
"DORINTOSH","SASKATCHEWAN","54.32","-108.70","502.90","4062240","",""
"DORION TCPL 70","ONTARIO","48.82","-88.52","192.60","6042067","",""
"DORSET","ONTARIO","45.17","-78.83","347.20","6112070","",""
"DORSET MOE","ONTARIO","45.22","-78.93","323.10","6112072","",""
"DOUANES ARMSTRONG","QUEBEC","45.82","-70.40","563.90","7022127","",""
"DOUCET","QUEBEC","48.22","-76.62","376.70","7092130","",""
"DOUCETTE LO","ALBERTA","55.82","-114.30","609.60","3072100","",""
"DOUGLAS LAKE","BRITISH COLUMBIA","50.16","-120.20","808.00","1122541","",""
"DOUGLAS POINT","ONTARIO","44.33","-81.60","179.80","6122079","",""
"DOUGLAS POINT","ONTARIO","44.33","-81.60","179.80","6122078","",""
"DOVER","NEWFOUNDLAND","48.88","-53.97","21.30","8401518","",""
"DOWLING LAKE","ALBERTA","51.75","-111.92","853.10","3022108","",""
"DOWNIE CREEK","BRITISH COLUMBIA","51.15","-117.83","754.40","1172542","",""
"DOWNIE SLIDE BCHPA","BRITISH COLUMBIA","51.50","-118.52","975.40","1172543","",""
"DOYLES","NEWFOUNDLAND","47.83","-59.18","30.50","8401524","",""
"DOYLES","NEWFOUNDLAND","47.85","-59.25","13.10","8401EK4","",""
"DOYLES CDA EPF","NEWFOUNDLAND","47.83","-59.20","7.60","8401525","",""
"DRAYTON VALLEY","ALBERTA","53.22","-114.95","883.10","3012116","",""
"DRAYTON VALLEY","ALBERTA","53.20","-114.98","853.40","3012115","",""
"DRESDEN","ONTARIO","42.58","-82.18","182.90","6132090","",""
"DRUMBO","ONTARIO","43.23","-80.55","304.80","6142110","",""
"DRUMBO HARRINGTON","ONTARIO","43.23","-80.52","281.90","6142113","",""
"DRUMHELLER","ALBERTA","51.47","-112.72","687.30","3022120","",""
"DRUMHELLER ANDREW","ALBERTA","51.47","-112.87","719.30","3022136","",""
"DRUMHELLER CITY","ALBERTA","51.45","-112.70","688.20","3022139","",""
"DRUMHELLER EAST","ALBERTA","51.45","-112.68","678.20","30221LG","71237","WDZ"
"DRUMHELLER INSTITUTION","ALBERTA","51.42","-112.68","813.80","3022137","",""
"DRUMMOND CENTRE","ONTARIO","45.03","-76.25","145.00","6102J13","",""
"DRUMMONDVILLE","QUEBEC","45.88","-72.48","82.30","7022160","",""
"DRUMQUIN","ONTARIO","43.55","-79.77","182.90","6152114","",""
"DRURY CREEK","YUKON TERRITORY","62.20","-134.39","609.00","2100460","",""
"DRYAD POINT","BRITISH COLUMBIA","52.19","-128.11","3.50","1062544","","WAU"
"DRYDEN","ONTARIO","49.78","-92.83","371.90","6032117","",""
"DRYDEN A","ONTARIO","49.83","-92.75","412.70","6032119","","YHD"
"DRYDEN A (AUT)","ONTARIO","49.83","-92.74","412.70","6032120","",""
"DRYDEN FORESTRY","ONTARIO","49.82","-92.85","373.10","6032122","",""
"DRYDEN REGIONAL","ONTARIO","49.83","-92.74","412.70","6032125","71527","YHD"
"DUBAWNT LAKE (AUT)","NUNAVUT","63.23","-101.76","237.40","230J048","","WJZ"
"DUBERGER","QUEBEC","46.82","-71.30","15.20","7012232","",""
"DUCHESNAY","QUEBEC","46.87","-71.65","166.10","7012240","",""
"DUCHESS","ALBERTA","50.73","-111.90","755.30","3022143","",""
"DUCK BAY","MANITOBA","52.12","-100.20","253.80","5040789","",""
"DUCKWORTH FARM","ALBERTA","51.03","-113.88","1050.30","303BJDL","",""
"DUFF","SASKATCHEWAN","50.87","-103.08","584.60","4012270","",""
"DUFROST","MANITOBA","49.37","-97.05","242.30","5020807","",""
"DUGALD","MANITOBA","49.87","-96.82","243.20","5020810","",""
"DUHAMEL","QUEBEC","46.02","-75.08","244.00","703BBD2","",""
"DUNCAN","BRITISH COLUMBIA","48.78","-123.72","8.50","1012550","",""
"DUNCAN BAY","BRITISH COLUMBIA","50.07","-125.28","11.00","1022560","",""
"DUNCAN BCHPA VIT","BRITISH COLUMBIA","48.83","-123.72","36.00","1012562","",""
"DUNCAN EAST","BRITISH COLUMBIA","48.78","-123.68","7.60","1012566","",""
"DUNCAN FORESTRY","BRITISH COLUMBIA","48.77","-123.68","6.00","1012570","",""
"DUNCAN GLENORA","BRITISH COLUMBIA","48.76","-123.77","84.00","1022571","",""
"DUNCAN KELVIN CREEK","BRITISH COLUMBIA","48.73","-123.73","103.00","1012573","",""
"DUNCAN LAKE DAM","BRITISH COLUMBIA","50.24","-116.97","548.60","1142574","",""
"DUNCHURCH","ONTARIO","45.62","-79.88","268.20","6112133","",""
"DUNDAS HARBOUR","NUNAVUT","74.53","-82.38","4.60","2401050","",""
"DUNDURN","SASKATCHEWAN","51.80","-106.50","529.40","4052280","",""
"DUNGARVON RIVER","NEW BRUNSWICK","46.82","-66.65","317.00","8101272","",""
"DUNHAM","QUEBEC","45.10","-72.82","204.20","7022245","",""
"DUNHAM","QUEBEC","45.15","-72.82","121.00","7022246","",""
"DUNKIRK L3","ALBERTA","56.77","-112.48","488.00","3062146","",""
"DUNNVILLE","ONTARIO","42.92","-79.70","178.30","6132144","",""
"DUNNVILLE 2","ONTARIO","42.85","-79.67","178.30","6132145","",""
"DUNNVILLE PUMPING STN","ONTARIO","42.83","-79.62","175.30","6132148","",""
"DUNROBIN","ONTARIO","45.43","-76.03","65.50","6102150","",""
"DUNSTER","BRITISH COLUMBIA","53.13","-119.85","725.40","1092578","",""
"DUNSTER 2","BRITISH COLUMBIA","53.17","-119.83","833.00","1092579","",""
"DUNVEGAN","ALBERTA","55.93","-118.58","397.80","3072145","",""
"DUNVEGAN","ONTARIO","45.33","-74.78","68.60","6102153","",""
"DUNVILLE","NEWFOUNDLAND","47.27","-53.92","15.00","8401528","",""
"DUPARQUET","QUEBEC","48.52","-79.27","289.60","709BBDH","",""
"DUPLANTER","QUEBEC","54.83","-69.88","533.40","7112249","",""
"DUPRE AGCM","ALBERTA","54.37","-110.87","556.00","3081690","71414","PDU"
"DURBAN CDA EPF","MANITOBA","51.93","-101.40","419.10","5040840","",""
"DURBAN ISLAND","NUNAVUT","67.10","-62.15","664.50","2401060","",""
"DURHAM","ONTARIO","44.18","-80.82","384.00","6112171","",""
"DURHAM SUD","QUEBEC","45.63","-72.35","191.10","70222DR","",""
"DUTTON","ONTARIO","42.67","-81.53","219.80","6132175","",""
"DUTTON 2","ONTARIO","42.67","-81.53","219.80","6132176","",""
"DUVAL","SASKATCHEWAN","51.18","-104.87","584.00","4012300","",""
"DUVERNAY","QUEBEC","45.63","-73.68","30.50","7022250","",""
"DWIGHT","ONTARIO","45.38","-78.90","404.00","6082178","",""
"DYMOND ONT HYDRO","ONTARIO","47.52","-79.68","198.10","6072183","",""
"DYSART","SASKATCHEWAN","51.12","-103.98","640.10","4012309","",""
"EAGLE BAY","BRITISH COLUMBIA","50.93","-119.22","411.50","1162580","",""
"EAGLE BUTTE","ALBERTA","49.58","-110.37","1163.00","3042148","",""
"EAGLE LAKE PARK","ALBERTA","50.99","-113.30","923.60","3032AM9","",""
"EAGLE LO","ALBERTA","54.47","-116.42","1042.40","3062150","",""
"EAGLE PLAINS","YUKON TERRITORY","66.37","-136.72","620.00","2100468","",""
"EAGLE RIVER","YUKON TERRITORY","66.45","-136.72","324.60","2100470","",""
"EAGLE RIVER","ONTARIO","49.82","-93.22","350.00","6032192","",""
"EAGLESHAM","ALBERTA","55.77","-117.75","548.60","3072149","",""
"EAGLESHAM AGCM","ALBERTA","55.81","-117.89","563.00","3072151","71461","PEL"
"EAR FALLS","ONTARIO","50.63","-93.22","360.90","6012198","",""
"EAR FALLS (AUT)","ONTARIO","50.63","-93.22","362.60","6012199","71295","XEA"
"EARLTON A","ONTARIO","47.70","-79.85","243.80","6072223","71684","YXR"
"EARLTON A","ONTARIO","47.70","-79.85","243.20","6072225","","YXR"
"EARLTON AWOS","ONTARIO","47.70","-79.85","243.40","6072224","",""
"EARLTON CLIMATE","ONTARIO","47.70","-79.85","243.40","6072230","71213","TXR"
"EAST ANGUS","QUEBEC","45.48","-71.67","189.00","7022280","",""
"EAST BALTIC","PRINCE EDWARD ISLAND","46.43","-62.17","61.00","8300416","",""
"EAST BERRY CREEK","ALBERTA","51.23","-111.35","791.90","3022154","",""
"EAST BROUGHTON","QUEBEC","46.22","-71.08","365.80","7022285","",""
"EAST CANAAN","NEW BRUNSWICK","46.07","-65.37","15.20","8101280","",""
"EAST CLIFTON NORTH","QUEBEC","45.27","-71.57","373.70","7022288","",""
"EAST CRACROFT ISL","BRITISH COLUMBIA","50.60","-126.32","14.00","1062593","",""
"EAST HEREFORD","QUEBEC","45.08","-71.50","358.00","7022300","",""
"EAST JORDAN","NOVA SCOTIA","43.73","-65.20","15.20","8201685","",""
"EAST LILLOOET","BRITISH COLUMBIA","50.70","-121.92","269.70","1112625","",""
"EAST POINT (AUT)","PRINCE EDWARD ISLAND","46.46","-61.99","7.70","8300418","71412","WEP"
"EAST POPLAR RIVER","SASKATCHEWAN","49.00","-105.42","739.10","4032335","",""
"EAST RIVER ST MARY'S","NOVA SCOTIA","45.38","-62.17","52.40","8201690","",""
"EAST SOOKE ANDERSON COVE","BRITISH COLUMBIA","48.35","-123.63","36.60","1012628","",""
"EAST WALLACE","NOVA SCOTIA","45.80","-63.43","17.00","8201695","",""
"EASTEND 2","SASKATCHEWAN","49.52","-108.82","914.40","4032323","",""
"EASTEND CDA EPF","SASKATCHEWAN","49.52","-108.75","912.90","4032320","",""
"EASTEND CDA EPF SOUTH","SASKATCHEWAN","49.37","-108.77","914.40","4032321","",""
"EASTEND CYPRESS (AUT)","SASKATCHEWAN","49.44","-108.99","1079.60","4032322","71131","WEH"
"EASTLEIGH","SASKATCHEWAN","50.28","-106.18","709.00","4022328","",""
"EASTMAIN","QUEBEC","52.25","-78.52","6.10","7092305","",""
"EASTMAIN RIVER A","QUEBEC","52.23","-78.52","7.30","7092310","","ZEM"
"EATON","QUEBEC","45.37","-71.60","","702BC0E","",""
"EATON RIVER NORTH","QUEBEC","45.23","-71.50","","702K30E","",""
"EATON SECOND BRANCH","QUEBEC","45.27","-71.43","491.60","7022306","",""
"EBBEGUNBAEG LAKE","NEWFOUNDLAND","48.30","-56.42","259.10","8401530","",""
"ECKVILLE","ALBERTA","52.38","-114.37","914.40","3022158","",""
"ECKVILLE SOUTH","ALBERTA","52.28","-114.39","960.10","3022159","",""
"ECONOMY LO","ALBERTA","54.78","-118.23","800.10","3072160","",""
"ECUM SECUM","NOVA SCOTIA","44.98","-62.18","15.30","8201700","",""
"EDAM","SASKATCHEWAN","53.18","-108.77","549.00","4042338","",""
"EDBERG","ALBERTA","52.73","-112.78","784.90","3012190","",""
"EDDONTENAJON","BRITISH COLUMBIA","57.83","-129.98","883.90","1202638","",""
"EDDY POINT","NOVA SCOTIA","45.52","-61.25","66.10","8201716","",""
"EDDYSTONE","MANITOBA","51.08","-99.15","262.10","5040854","",""
"EDEN LAKE","BRITISH COLUMBIA","53.87","-132.73","42.70","1052639","",""
"EDENBANK SARDIS","BRITISH COLUMBIA","49.13","-121.97","10.00","1102F3H","",""
"EDGE HILLS BUTCHER CREEK","BRITISH COLUMBIA","51.07","-121.94","580.00","111KFLR","",""
"EDGELEY","ONTARIO","43.78","-79.55","167.60","6152235","",""
"EDGELEY","SASKATCHEWAN","50.60","-104.03","640.10","4012340","",""
"EDGERTON AGCM","ALBERTA","52.78","-110.43","649.00","3012192","71360","PEA"
"EDGEWOOD","BRITISH COLUMBIA","49.83","-118.13","427.90","1142640","",""
"EDINBURGH ISLAND","NUNAVUT","68.49","-110.88","193.80","2401087","",""
"EDMONTON","ALBERTA","53.55","-113.50","657.80","3012195","",""
"EDMONTON AB RESEARCH PARK","ALBERTA","53.45","-113.48","694.20","3012235","",""
"EDMONTON BLATCHFORD","ALBERTA","53.57","-113.52","671.00","3012209","71157","XEC"
"EDMONTON CALDER","ALBERTA","53.57","-113.52","670.60","3012203","",""
"EDMONTON CITY CENTRE A","ALBERTA","53.57","-113.52","670.60","3012208","",""
"EDMONTON CITY CENTRE AWOS","ALBERTA","53.57","-113.52","671.40","3012202","71879","YXD"
"EDMONTON CLOVERBAR","ALBERTA","53.59","-113.36","653.80","3012232","",""
"EDMONTON CORONATION","ALBERTA","53.57","-113.57","670.60","301BK03","",""
"EDMONTON GARRISON","ALBERTA","53.66","-113.36","683.40","3012233","",""
"EDMONTON INT'L A","ALBERTA","53.32","-113.58","723.30","3012205","71123","YEG"
"EDMONTON INTERNATIONAL CS","ALBERTA","53.31","-113.61","715.00","3012206","71155","XEG"
"EDMONTON INTL A","ALBERTA","53.31","-113.58","723.30","3012216","71123","YEG"
"EDMONTON LYNNWOOD","ALBERTA","53.53","-113.57","670.60","3012207","",""
"EDMONTON NAMAO A","ALBERTA","53.67","-113.47","687.90","3012210","71121","YED"
"EDMONTON NAMAO AWOS A","ALBERTA","53.67","-113.47","687.90","3012212","71121","YED"
"EDMONTON PLEASANTVIEW","ALBERTA","53.48","-113.52","670.60","3012215","",""
"EDMONTON SMITH WATER TREATMENT","ALBERTA","53.47","-113.62","638.50","3012234","",""
"EDMONTON SOUTH CAMPUS","ALBERTA","53.49","-113.54","670.00","3012220","","NES"
"EDMONTON STONY PLAIN","ALBERTA","53.55","-114.11","766.30","301222F","71119","WSE"
"EDMONTON STONY PLAIN CS","ALBERTA","53.55","-114.11","766.30","301A001","71127","XPS"
"EDMONTON TIEBEKE ESTATES","ALBERTA","53.35","-113.08","775.80","301A005","",""
"EDMONTON VILLENEUVE A","ALBERTA","53.67","-113.86","687.60","3012229","71664","ZVL"
"EDMONTON VILLENEUVE A","ALBERTA","53.67","-113.85","687.60","3012228","","ZVL"
"EDMONTON WOODBEND","ALBERTA","53.42","-113.75","670.60","3012230","",""
"EDMUNDSTON","NEW BRUNSWICK","47.37","-68.28","198.10","810JL00","",""
"EDMUNDSTON","NEW BRUNSWICK","47.42","-68.32","154.20","8101303","71590","ERM"
"EDMUNDSTON","NEW BRUNSWICK","47.35","-68.19","163.00","810AL00","",""
"EDMUNDSTON","NEW BRUNSWICK","47.37","-68.33","173.70","8101300","",""
"EDMUNDSTON FRASER CO","NEW BRUNSWICK","47.37","-68.33","152.40","8101301","",""
"EDRA LO","ALBERTA","57.85","-113.25","609.60","3072235","",""
"EDSON","ALBERTA","53.58","-116.42","922.60","3062240","",""
"EDSON","ALBERTA","53.58","-116.42","924.50","3062241","",""
"EDSON","ALBERTA","53.58","-116.47","926.90","3062239","71167","YET"
"EDSON A","ALBERTA","53.60","-116.48","925.40","3062242","71881","YET"
"EDSON A","ALBERTA","53.58","-116.47","927.20","3062244","",""
"EDSON AWOS A","ALBERTA","53.58","-116.47","926.90","3062245","71881","PDS"
"EDSON CLIMATE","ALBERTA","53.58","-116.45","927.00","3062246","71156","ZZJ"
"EDWIN","MANITOBA","49.82","-98.52","300.80","5010859","",""
"EGANVILLE","ONTARIO","45.55","-77.10","164.60","6102250","",""
"EGANVILLE 2","ONTARIO","45.55","-77.10","184.80","6102252","",""
"EGBERT CARE","ONTARIO","44.23","-79.78","252.00","611KBE0","",""
"EGBERT CS","ONTARIO","44.23","-79.78","251.00","611E001","71296","XET"
"EGG ISLAND","BRITISH COLUMBIA","51.25","-127.84","14.00","1062646","","WEM"
"EGG ISLAND","ALBERTA","58.98","-110.44","214.90","3072246","71404","XEL"
"EGREMONT","ONTARIO","44.00","-80.67","442.30","6142252","",""
"EISENHOWER JUNCTION","ALBERTA","51.28","-115.90","1424.90","3052255","",""
"EKALUGAD FIORD","NUNAVUT","68.72","-68.55","723.90","2401090","",""
"EKATI A","NORTHWEST TERRITORIES","64.70","-110.61","468.20","220N001","","YOA"
"ELBOW","SASKATCHEWAN","51.12","-106.60","588.30","4022360","",""
"ELBOW","SASKATCHEWAN","51.13","-106.58","594.70","4022361","",""
"ELBOW 2 NE","SASKATCHEWAN","51.17","-106.55","605.30","4022363","",""
"ELBOW CS","SASKATCHEWAN","51.13","-106.58","595.00","4022359","71450","WOK"
"ELBOW LAKE","BRITISH COLUMBIA","49.28","-121.97","218.00","1102650","",""
"ELBOW RS","ALBERTA","50.90","-114.70","1399.90","3052270","",""
"ELK ISLAND NAT PARK","ALBERTA","53.68","-112.87","716.20","3012275","71238","WFE"
"ELK ISLAND PARK","ALBERTA","53.52","-112.90","723.90","3012277","",""
"ELK ISLAND SIDING","ALBERTA","53.78","-112.98","650.40","3012278","",""
"ELK LAKE","BRITISH COLUMBIA","48.52","-123.38","114.30","1012655","",""
"ELK LAKE 2","BRITISH COLUMBIA","48.53","-123.38","53.00","1012656","",""
"ELK LAKE JEUNE LANDING","BRITISH COLUMBIA","50.37","-127.30","109.70","1032660","",""
"ELK POINT","ALBERTA","53.88","-111.07","605.00","3012280","",""
"ELK RIVER AFS","ALBERTA","52.97","-115.87","1036.00","3012282","",""
"ELK RIVER ER RS","ALBERTA","52.95","-115.65","944.90","3012281","",""
"ELKFORD","BRITISH COLUMBIA","50.02","-114.92","1370.00","1152653","",""
"ELKHART LODGE HIGHWAY 97C","BRITISH COLUMBIA","49.93","-120.35","1615.00","112K653","",""
"ELKHORN","MANITOBA","49.97","-101.23","499.00","5010868","",""
"ELKHORN 2 EAST","MANITOBA","49.93","-101.20","497.50","5010QFQ","",""
"ELKINS CREEK RANCH","BRITISH COLUMBIA","51.50","-123.78","1225.30","1082654","",""
"ELKO","BRITISH COLUMBIA","49.30","-115.12","931.00","1152670","",""
"ELLERSLIE","ALBERTA","53.42","-113.55","693.70","3012295","","WHE"
"ELLERSLIE","PRINCE EDWARD ISLAND","46.62","-63.92","7.60","8300420","",""
"ELLICE RIVER (AUT)","NUNAVUT","67.72","-104.47","42.00","2301094","","WEV"
"ELLIOT LAKE","ONTARIO","46.38","-82.65","312.40","6052258","",""
"ELLIOT LAKE A","ONTARIO","46.35","-82.56","331.30","6052259","","YEL"
"ELLIOT LAKE DENISON","ONTARIO","46.50","-82.62","434.30","6052260","",""
"ELLIOT LAKE STANLEIGH","ONTARIO","46.42","-82.65","374.00","6052268","",""
"ELLS LO","ALBERTA","57.18","-112.33","573.00","3062300","",""
"ELLSCOTT","ALBERTA","54.48","-112.95","664.40","301KKRR","",""
"ELM CREEK","MANITOBA","49.72","-98.02","252.40","5020870","",""
"ELMA","MANITOBA","49.77","-95.93","292.70","5030869","",""
"ELMIRA","ONTARIO","43.60","-80.53","350.50","6142275","",""
"ELMORE","SASKATCHEWAN","49.00","-101.63","495.30","4012364","",""
"ELMSDALE","NOVA SCOTIA","44.97","-63.52","15.20","8201750","",""
"ELMVALE","ONTARIO","44.58","-79.90","213.40","6112278","",""
"ELMWOOD","PRINCE EDWARD ISLAND","46.25","-63.33","67.00","8300425","",""
"ELMWOOD SNOW","PRINCE EDWARD ISLAND","46.25","-63.33","67.00","8300426","",""
"ELMWORTH","ALBERTA","55.07","-119.67","746.80","3072320","",""
"ELMWORTH CDA EPF","ALBERTA","55.10","-119.75","754.40","3072322","",""
"ELMWORTH CDA EPF","ALBERTA","55.05","-119.57","701.00","3072321","",""
"ELNORA","ALBERTA","51.96","-113.19","929.60","3022325","",""
"ELNORA SALEM","ALBERTA","52.03","-112.13","826.00","3012330","",""
"ELORA","ONTARIO","43.68","-80.40","388.30","6142284","",""
"ELORA AUTOMATIC CLIMATE STATION","ONTARIO","43.65","-80.42","376.40","614B2H4","",""
"ELORA RCS","ONTARIO","43.65","-80.42","376.40","6142286","71352","ZEL"
"ELORA RESEARCH STN","ONTARIO","43.65","-80.42","376.40","6142285","",""
"ELROSE","SASKATCHEWAN","51.13","-108.03","609.90","4022368","",""
"ELSA","YUKON TERRITORY","63.92","-135.48","813.80","2100500","",""
"EMBARRAS A","ALBERTA","58.20","-111.38","236.20","3062360","",""
"EMBRO INNES","ONTARIO","43.25","-80.93","358.10","6142295","",""
"EMERGENCY WEATHER STATION #2","NOVA SCOTIA","44.73","-64.46","135.00","8202195","","ERU"
"EMERSON","MANITOBA","49.03","-97.18","237.60","5020880","",""
"EMERSON AUT","MANITOBA","49.00","-97.24","242.00","5020882","71560","WEX"
"EMERSON AUTO","MANITOBA","49.00","-97.24","242.00","5020881","71560","WEX"
"EMO","ONTARIO","48.63","-93.80","337.10","6022300","",""
"EMO 2","ONTARIO","48.75","-93.88","335.30","6022301","",""
"EMO HOSKINS","ONTARIO","48.75","-93.85","351.10","602B300","",""
"EMO RADBOURNE","ONTARIO","48.68","-93.83","350.00","602K300","",""
"EMPRESS","ALBERTA","50.96","-110.01","612.00","3022400","",""
"EMPRESS DOT","ALBERTA","50.95","-110.02","621.80","3022402","",""
"EMSDALE","ONTARIO","45.50","-79.23","327.70","6112313","",""
"ENCHANT","ALBERTA","50.32","-112.38","808.90","3032420","",""
"ENCHANT AGDM","ALBERTA","50.18","-112.43","801.00","3032422","71518","PEH"
"ENDAKO MINE","BRITISH COLUMBIA","54.03","-125.10","984.50","1092676","",""
"ENDAKO SAVORY","BRITISH COLUMBIA","54.10","-125.17","688.80","1092678","",""
"ENDEAVOUR","SASKATCHEWAN","52.20","-102.53","582.70","4082374","",""
"ENDEAVOUR 2","SASKATCHEWAN","52.18","-102.67","541.00","4082376","",""
"ENDERBY","BRITISH COLUMBIA","50.55","-119.15","354.00","1162680","",""
"ENDERBY ASHTON CREEK","BRITISH COLUMBIA","50.55","-118.92","350.50","1162682","",""
"ENDERBY VALECAIRN FARM","BRITISH COLUMBIA","50.53","-119.17","335.30","1162683","",""
"ENDIANG","ALBERTA","51.92","-112.08","853.40","3012425","",""
"ENGEN","BRITISH COLUMBIA","54.03","-124.22","705.90","1092685","",""
"ENGLEE (AUT)","NEWFOUNDLAND","50.72","-56.11","30.30","8401538","71417","WDA"
"ENGLEHART","ONTARIO","47.82","-79.90","251.50","6072325","",""
"ENILDA LO","ALBERTA","55.32","-116.20","731.50","3062430","",""
"ENILDA-BERG","ALBERTA","55.42","-116.30","590.60","3062427","",""
"ENNADAI LAKE","NUNAVUT","61.13","-100.90","324.60","2301100","",""
"ENNADAI LAKE (AUT)","NUNAVUT","61.13","-100.88","353.10","2301102","71923","WJC"
"ENNISMORE","ONTARIO","44.38","-78.45","","6162328","",""
"ENTRANCE","ALBERTA","53.37","-117.70","990.60","3062440","",""
"ENTRANCE ISLAND","BRITISH COLUMBIA","49.21","-123.81","7.00","102BFHH","",""
"ENTRANCE ISLAND","BRITISH COLUMBIA","49.21","-123.81","7.60","1022689","71772","WEL"
"ENTRANCE ISLAND","BRITISH COLUMBIA","49.20","-123.80","3.30","1022688","",""
"ENTRANCE RS","ALBERTA","53.37","-117.72","983.00","3062445","",""
"ENTWISTLE","ALBERTA","53.60","-114.98","780.30","3062451","",""
"EQUITY SILVER","BRITISH COLUMBIA","54.20","-126.28","1280.00","1072692","",""
"ERICKSON","MANITOBA","50.43","-99.90","635.50","5010893","",""
"ERICKSON","MANITOBA","50.48","-99.90","648.00","5010894","",""
"ERIEAU","ONTARIO","42.27","-81.93","177.10","6132334","",""
"ERIEAU (AUT)","ONTARIO","42.25","-81.90","178.00","613KLLM","71465","WAJ"
"ERIEAU BAY","ONTARIO","42.26","-81.92","176.00","6132336","",""
"ERIKSDALE","MANITOBA","50.83","-98.23","259.40","5040895","",""
"ERIKSDALE 1","MANITOBA","50.87","-98.13","268.20","5040896","",""
"ERIKSDALE 2","MANITOBA","50.88","-98.00","267.30","5040897","",""
"ERINDALE","ONTARIO","43.57","-79.65","140.20","6152335","",""
"ESK","SASKATCHEWAN","51.80","-104.85","541.90","4012381","",""
"ESKASONI FIRST NATION AUTOMATIC WEATHER STATION","NOVA SCOTIA","45.92","-60.65","28.00","8201780","71175","AEI"
"ESKER 2","NEWFOUNDLAND","53.87","-66.42","487.70","8501548","",""
"ESQUIMALT","BRITISH COLUMBIA","48.43","-123.42","13.70","1012700","",""
"ESQUIMALT HARBOUR","BRITISH COLUMBIA","48.43","-123.44","3.00","1012710","71798","WPF"
"ESQUIMALT LAGOON","BRITISH COLUMBIA","48.42","-123.47","15.20","1012707","",""
"ESSA ONT HYDRO","ONTARIO","44.35","-79.82","216.40","6112340","",""
"ESSEX","ONTARIO","42.17","-82.83","195.10","6132344","",""
"ESSONDALE","BRITISH COLUMBIA","49.25","-122.82","53.30","1102725","",""
"ESTEVAN","SASKATCHEWAN","49.20","-103.07","566.30","4012390","",""
"ESTEVAN","SASKATCHEWAN","49.22","-102.97","580.60","4012410","71559","PJM"
"ESTEVAN A","SASKATCHEWAN","49.21","-102.97","580.30","4012401","","YEN"
"ESTEVAN A","SASKATCHEWAN","49.21","-102.97","580.30","4012403","71862","YEN"
"ESTEVAN A","SASKATCHEWAN","49.22","-102.97","580.30","4012400","",""
"ESTEVAN POINT","BRITISH COLUMBIA","49.38","-126.54","5.80","1032730","",""
"ESTEVAN POINT CS","BRITISH COLUMBIA","49.38","-126.54","5.80","1032731","71894","WEB"
"ESTHER","ALBERTA","51.60","-110.23","746.80","3022460","",""
"ESTHER 1","ALBERTA","51.67","-110.21","707.00","301B460","71240","WGY"
"ESTHER PRATT","ALBERTA","51.67","-110.27","692.00","301A011","",""
"ESTLIN","SASKATCHEWAN","50.25","-104.53","579.10","4012425","",""
"ESTON","SASKATCHEWAN","51.15","-108.77","680.00","4022440","",""
"ETA LAKE","ALBERTA","53.20","-115.88","927.00","306KD60","",""
"ETANG A LA TRUITE","QUEBEC","48.68","-66.78","337.10","7052C09","",""
"ETHELBERT","MANITOBA","51.53","-100.38","343.00","5040899","",""
"ETHELDA BAY","BRITISH COLUMBIA","53.05","-129.68","9.60","1062745","",""
"ETHELTON","SASKATCHEWAN","52.77","-104.90","466.00","4052448","",""
"ETZIKOM AGCM","ALBERTA","49.55","-111.05","845.00","3032450","71409","PET"
"EUCHINIKO TITETOWN","BRITISH COLUMBIA","53.33","-123.82","795.50","1082748","",""
"EUGENIA","ONTARIO","44.33","-80.55","274.30","6112350","",""
"EUREKA A","NUNAVUT","79.98","-85.93","10.40","2401200","71917","WEU"
"EUREKA A","NUNAVUT","79.99","-85.81","82.90","2401208","","WEU"
"EUREKA A","NUNAVUT","79.99","-85.81","82.90","2401203","71917","WEU"
"EUREKA CLIMATE","NUNAVUT","79.99","-85.93","10.00","2401199","71613","NEK"
"EUREKA RIVER","ALBERTA","56.48","-118.73","664.50","3072475","",""
"EVAIN","QUEBEC","48.25","-79.10","302.40","708B309","",""
"EVANS THOMAS","ALBERTA","50.78","-115.05","2164.10","3052D82","",""
"EVANSBURG AGCM","ALBERTA","53.57","-115.12","819.00","3062475","71481","PEB"
